epoch: 1 loss: tensor(1.6061, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.1054, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.6061, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(143.4931, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9596, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(1.8276, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.9379, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.8276, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(736.7919, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.7950, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(1.2322, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.9041, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2322, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(366.2174, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.5552, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(2.3958, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.1594, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.3958, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(78.3721, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.9579, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(1.1187, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.1204, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1187, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(367.6358, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9454, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(1.8006, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.2349, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.8006, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(562.2047, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.9521, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(1.6538, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.1091, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.6538, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(171.4622, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9678, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(0.3795, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.2671, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.3795, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(52.6545, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0145, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(3.4881, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0771, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(3.4881, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(698.9052, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8603, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(0.0908, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.9632, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.0908, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(724.0915, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.7148, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(2.5170, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.3657, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.5170, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(342.2508, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.1977, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(1.3386, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.1177, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.3386, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1135.1996, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.7837, device='cuda:0', grad_fn=<MseLossBackward0>)
