
epoch: 28 loss: tensor(1.0643, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0863, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1383.2305, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0643, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0643, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(21096914., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0817, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 29 loss: tensor(1.1944, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.1440, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1383.2305, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1944, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.1944, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(21073290., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1396, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 30 loss: tensor(0.6738, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8435, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1383.2305, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.6738, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.6738, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(21132104., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8389, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 31 loss: tensor(0.8693, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.1021, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1383.2305, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8693, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8693, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(21107376., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0977, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 32 loss: tensor(1.0154, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9474, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1383.2305, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0154, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0154, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(21137592., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9428, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 33 loss: tensor(1.2778, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0682, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1383.2305, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2778, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.2778, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(21137384., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0636, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 34 loss: tensor(0.9750, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.1391, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1383.2305, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9750, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9750, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(21116018., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1347, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 35 loss: tensor(1.0372, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9180, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1383.2305, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0372, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0372, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(21120396., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9136, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 36 loss: tensor(0.9598, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0432, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1383.2305, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9598, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9598, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(21135924., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0387, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 37 loss: tensor(0.6840, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8632, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1383.2305, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.6840, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.6840, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(21116502., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8587, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 38 loss: tensor(1.8184, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9340, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1383.2305, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.8184, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.8184, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(21112924., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9296, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 39 loss: tensor(1.0362, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.2693, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1383.2305, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0362, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0362, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(21124248., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2649, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 40 loss: tensor(1.0498, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9007, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1383.2305, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0498, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0498, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(21137836., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8962, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 41 loss: tensor(1.6452, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.1108, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1383.2305, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.6452, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.6452, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(21090444., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1062, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 42 loss: tensor(1.3628, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.1334, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1383.2305, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.3628, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.3628, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(21092758., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1289, device='cuda:0', grad_fn=<MseLossBackward0>)
