epoch: 1 loss: tensor(715.4935, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.6473, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(715.4935, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(18612.7266, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.2583, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(677.6879, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.2384, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(677.6879, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4076.0833, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9790, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(867.1938, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0678, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(867.1938, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2478.7290, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(3.1490, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(753.5363, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5751, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(753.5363, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(8091.9395, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.4986, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(838.9431, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7575, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(838.9431, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1797.1106, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.4968, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(747.7591, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.2609, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(747.7591, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3466.7095, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.4044, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(784.8537, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5638, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(784.8537, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(881.3522, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.4370, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(827.3885, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0738, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(827.3885, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1445.8967, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.3568, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(721.9719, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.6881, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(721.9719, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(6796.6436, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.5179, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(998.0716, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9092, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(998.0716, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4973.1123, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.6789, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(740.2902, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.4862, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(740.2902, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(17143.5586, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.5254, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(695.5699, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.1319, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(695.5699, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3305.6125, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8715, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(730.0712, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5468, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(730.0712, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(11192.3428, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(3.1077, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(701.3054, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8684, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(701.3054, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2276.5425, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8880, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(671.6470, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.5672, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(671.6470, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(29083.4316, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1616, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(693.2279, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.4024, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(693.2279, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(15092.3916, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.4352, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(697.0505, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7807, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(697.0505, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1899.3912, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.5901, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(836.9955, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5464, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(836.9955, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(5709.1553, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.4324, device='cuda:0', grad_fn=<MseLossBackward0>)
