epoch: 1 loss: tensor(35.6030, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7218, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(35.6030, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1226, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.1540, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(42.0969, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8637, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(42.0969, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.2590, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.9554, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(23.7138, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9336, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(23.7138, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.5025, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.9728, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(24.5313, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.4580, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(24.5313, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.6743, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.2821, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(20.1601, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.2281, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(20.1601, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8341, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.9632, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(48.0851, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0533, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(48.0851, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7890, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.5410, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(71.2035, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0082, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(71.2035, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.4895, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.9553, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(59.1914, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.3960, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(59.1914, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.6813, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(3.1470, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(23.6017, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.6683, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(23.6017, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.2744, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.5739, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(7.0870, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8926, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(7.0870, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.6847, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.3450, device='cuda:0', grad_fn=<MseLossBackward0>)
