epoch: 24 loss: tensor(197.1325, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2540, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1325, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9454, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.1175, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(22030360., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2541, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 25 loss: tensor(197.1311, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0707, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1311, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1754, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8112, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(22030576., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0707, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 26 loss: tensor(197.1307, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0450, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1307, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8657, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9093, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(22030748., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0450, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 27 loss: tensor(197.1319, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2155, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1319, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8945, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0949, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(22030506., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2155, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 28 loss: tensor(197.1313, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2951, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1313, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9866, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8851, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(22030544., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2953, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 29 loss: tensor(197.1353, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.3532, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1353, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2339, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9226, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(22030976., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.3532, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 30 loss: tensor(197.1291, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1377, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1291, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0350, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0487, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(22030504., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1377, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 31 loss: tensor(197.1296, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1003, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1296, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9655, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0545, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(22030320., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1003, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 32 loss: tensor(197.1290, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.3335, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1290, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9141, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7868, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(22030632., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.3335, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 33 loss: tensor(197.1297, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1892, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1297, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7820, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.6851, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(22030804., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1893, device='cuda:0', grad_fn=<MseLossBackward0>)
